"","nasal_FST","saliva_FST","between_FST"
"1",0,0.0244463200106601,0.115923739974076
"2",0,0.082739416055701,0.116871645103873
"3",0,0.180042004306544,0.119734156006387
"4",0,0,0.160768800391876
"5",0,0.0557218588376195,0.220554431596607
"6",0,0.0462162392281599,0.22199836331782
"7",NA,NA,0.226190351578386
"8",NA,NA,0.28237023054452
"9",NA,NA,0
"10",NA,NA,0
"11",NA,NA,0
"12",NA,NA,0.0180568156129535
"13",NA,NA,0.0744621702124429
"14",NA,NA,0.0751339090561275
"15",NA,NA,0.0772690691739586
"16",NA,NA,0.111140741530886
