"","participant","sample","mean_coverage"
"1","user_432686","2255901",10977.76
"2","user_432686","2264708",3973.97
"3","user_432686","2270321",14740.48
"4","user_432686","2278093",2579.72
"5","user_432686","2290531",1639.73
"6","user_432686","2322146",10825.96
"7","user_432870","2264562",60268.93
"8","user_432870","2271129",57170.15
"9","user_432870","2278138",18729.21
"10","user_432870","2285643",5387.34
"11","user_432870","2291489",90.35
"12","user_432870","2294271",13.51
"13","user_432870","2301664",3242.02
"14","user_432870","2309013",12386.37
"15","user_432870","2315984",520.6
"16","user_433227","2291530",1397.25
"17","user_433227","2293412",53.04
"18","user_433227","2301650",10320.92
"19","user_433227","2309019",4275.79
"20","user_433227","2315968",3178.57
"21","user_433227","2322121",8421.32
"22","user_433227","2335729",177.44
"23","user_435786","2383664",61365.59
"24","user_435786","2387864",42055.87
"25","user_435786","2390233",12880.24
"26","user_435786","2394329",9587.89
"27","user_435786","2398968",6257.87
"28","user_435786","2425936",3480.41
"29","user_435805","2383684",29297.34
"30","user_435805","2387852",21633.81
"31","user_435805","2391842",23259.22
"32","user_435805","2394639",1038.86
"33","user_435805","2397170",30902.8
"34","user_435805","2399015",70549.98
"35","user_435805","2406331",5570.26
"36","user_435805","2410844",8500.33
"37","user_435805","2415388",1472.34
"38","user_438577","2394752",26330.35
"39","user_438577","2397148",19.54
"40","user_438577","2399055",31011
"41","user_438577","2406110",24437.05
"42","user_438577","2409860",8823.31
"43","user_438577","2421347",927.97
"44","user_442978","2410823",22802.95
"45","user_442978","2415001",16635.94
"46","user_442978","2421382",11345.09
"47","user_442978","2426926",1077.54
"48","user_442978","2436698",5879.81
"49","user_444332","2415377",49265.88
"50","user_444332","2421070",28881.48
"51","user_444332","2425945",68161.69
"52","user_444332","2436517",22997.91
"53","user_444332","2447784",39005.19
"54","user_444332","2453549",8310.88
"55","user_444332","2472048",17723.09
"56","user_444332","2520735",2373.26
"57","user_444446","2415464",60867.14
"58","user_444446","2421082",47931.74
"59","user_444446","2425933",46767.45
"60","user_444446","2437816",13603.15
"61","user_444446","2448076",4841.31
"62","user_444446","2453533",35.06
"63","user_444446","2464643",9397.75
"64","user_444446","2476152",13167.94
"65","user_444446","2480180",4641.68
"66","user_444633","2415368",24487.6
"67","user_444633","2420718",11548
"68","user_444633","2426869",19005.82
"69","user_444633","2436710",6776.68
"70","user_444633","2447992",6909.29
"71","user_445602","2421360",58245.72
"72","user_445602","2425952",44174.36
"73","user_445602","2426758",59104.98
"74","user_445602","2437744",58357.67
"75","user_445602","2447833",69234.44
"76","user_445602","2465043",47755.66
"77","user_445602","2472278",25752.97
"78","user_445602","2480189",193.72
"79","user_445602","2487867",51.66
"80","user_445602","2526038",3811.66
"81","user_449650","2447896",24885.66
"82","user_449650","2464594",11456.55
"83","user_449650","2476159",22900.67
"84","user_449650","2488118",10254.26
"85","user_449650","2515540",4826.42
"86","user_449650","2525693",39922.8
"87","user_450241","2513687",16118.29
"88","user_450241","2533267",21718.24
"89","user_450241","2545470",7455.39
"90","user_450241","2551537",34437.52
"91","user_450241","2556564",4680.46
"92","user_450241","2569381",38955.39
"93","user_450348","2472060",36810.95
"94","user_450348","2480447",47735.57
"95","user_450348","2488027",42989.39
"96","user_450348","2500624",31999.25
"97","user_450348","2513694",35209.51
"98","user_450348","2522026",5791.64
"99","user_450348","2534292",11646.29
"100","user_450348","2545516",10134.02
"101","user_450348","2555208",4821.21
"102","user_451152","2535771",37520.09
"103","user_451152","2546854",38538.63
"104","user_451152","2551676",32624.09
"105","user_451152","2556733",36076.31
"106","user_451152","2570081",37697.7
"107","user_451152","2592755",17305.96
"108","user_451152","2604416",10423.78
"109","user_451152","2613386",11406.57
"110","user_451709","2595014",13838.01
"111","user_451709","2614059",21808.84
"112","user_451709","2620505",21487.53
"113","user_451709","2627185",16960.92
"114","user_451709","2641146",19864.85
"115","user_451709","2653210",679.61
"116","user_451709","2663852",8.68
"117","user_451709","2673662",26385.17
"118","user_451709","2685862",3958.7
"119","user_453058","2620543",21309.16
"120","user_453058","2627068",25993.88
"121","user_453058","2638730",13893.95
"122","user_453058","2651345",28701.46
"123","user_453058","2663763",995.16
"124","user_453058","2674330",2943.82
"125","user_453058","2685840",23576.4
"126","user_459597","2760718",5797
"127","user_459597","2773515",4027.74
"128","user_459597","2786356",16592.48
"129","user_459597","2797480",15971.89
"130","user_459597","2806801",18807.9
"131","user_459597","2819061",808.82
"132","user_459597","2826028",11507.63
"133","user_471467","3059818",4124.09
"134","user_471467","3070645",805.38
"135","user_471467","3076691",10204.38
"136","user_471467","3081629",23908.93
"137","user_471467","3091337",24472.74
"138","user_471467","3102769",24451.29
"139","user_471467","3109971",2664.79
"140","user_471467","3119403",5281.38
"141","user_471467","3129719",11574.8
"142","user_471467","3148657",11470.13
"143","user_471588","3059822",14165.58
"144","user_471588","3070647",14880.12
"145","user_471588","3076731",29660.77
"146","user_471588","3081633",2818.74
"147","user_471588","3091339",1274.06
"148","user_471588","3102774",6503.09
"149","user_471588","3110014",3436.61
"150","user_471588","3119405",382.79
"151","user_471588","3129726",869.01
