"","participant","sample","mean_coverage"
"1","user_432686","432686_12_7_20",6133.85
"2","user_432686","432686_12_8_20",8018.53
"3","user_432686","432686_12_9_20",34426.27
"4","user_433227","433227_12_14_20",8061.88
"5","user_433227","433227_12_15_20",5915.21
"6","user_433227","433227_12_16_20",7323.62
"7","user_433227","433227_12_17_20",6307.03
"8","user_433227","433227_12_20_20",27752.07
"9","user_438577","438577_1_10_21",7107.1
"10","user_438577","438577_1_11_21",760.37
"11","user_438577","438577_1_12_21",5389.12
"12","user_438577","438577_1_13_21",11007.74
"13","user_438577","438577_1_15_21",10448.62
"14","user_438577","438577_1_9_21",8015.28
"15","user_442978","442978_1_14_21",8352.38
"16","user_442978","442978_1_15_21",31709.32
"17","user_442978","442978_1_16_21",24984.12
"18","user_442978","442978_1_17_21",25234.22
"19","user_442978","442978_1_18_21",25952.79
"20","user_444332","444332_1_16_21",7102.78
"21","user_444332","444332_1_17_21",6017.43
"22","user_444332","444332_1_18_21",8463.51
"23","user_444332","444332_1_19_21",7990.97
"24","user_444332","444332_1_20_21",6940.91
"25","user_444332","444332_1_21_21",13982.69
"26","user_444332","444332_1_22_21",18822.74
"27","user_444332","444332_1_23_21",7832.14
"28","user_444332","444332_1_26_21",24998.48
"29","user_444633","444633_1_14_21",5655.35
"30","user_444633","444633_1_15_21",7204.27
"31","user_444633","444633_1_17_21",8349.41
"32","user_444633","444633_1_18_21",10171.73
"33","user_444633","444633_1_19_21",10376.75
"34","user_450241","450241_1_26_21",6337.45
"35","user_450241","450241_1_28_21",6574.25
"36","user_451152","451152_1_29_21",7344.08
"37","user_451152","451152_1_30_21",5756.05
"38","user_451152","451152_1_31_21",7519.64
"39","user_451709","451709_2_5_21",6386.48
"40","user_451709","451709_2_6_21",5944.18
"41","user_451709","451709_2_7_21",6316.68
"42","user_451709","451709_2_8_21",29384.34
"43","user_451709","451709_2_9_21",19782.01
"44","user_453058","453058_2_10_21",6656.17
"45","user_453058","453058_2_12_21",8501.41
"46","user_453058","453058_2_6_21",10509.5
"47","user_453058","453058_2_8_21",7567.71
"48","user_453058","453058_2_9_21",5649.5
"49","user_459597","459597_2_23_21",40465.48
"50","user_459597","459597_2_24_21",17521.23
"51","user_459597","459597_2_25_21",6772.37
"52","user_459597","459597_2_26_21",6377.95
"53","user_459597","459597_2_27_21",7612.38
"54","user_471467","471467_3_27_21",6131.6
"55","user_471467","471467_3_28_21",7620.51
"56","user_471467","471467_3_29_21",5863.74
"57","user_471467","471467_3_30_21",3610.59
"58","user_471588","471588_3_26_21",6693.85
"59","user_471588","471588_3_27_21",5314.3
"60","user_471588","471588_3_28_21",6955.06
"61","user_471588","471588_3_29_21",16693.88
