"","participant","sample","mean_coverage"
"1","user_461913","2890862",1227.39
"2","user_471876","3070641",16667.52
"3","user_471876","3076727",588.49
"4","user_471876","3081646",94580.86
"5","user_471876","3091319",17954.1
"6","user_471876","3102768",226.03
"7","user_471876","3119401",1330.66
"8","user_471876","3129717",1966.04
"9","user_471876","3138294",773.87
"10","user_475670","3157577",58754.71
"11","user_475670","3167376",12024.66
"12","user_475670","3175348",3262.44
"13","user_475670","3185930",574.66
"14","user_475670","3197621",30792.26
"15","user_475670","3205788",53427.63
"16","user_475670","3215238",15261.04
"17","user_481242","3167398",32307.5
"18","user_481242","3175347",6083.42
"19","user_481242","3185933",36029.5
"20","user_481242","3192013",13301.44
"21","user_481242","3197624",15519.78
"22","user_481242","3205792",1250.85
"23","user_481242","3215245",7841.72
"24","user_481672","3242605",1000.58
"25","user_482828","3224635",80041.41
"26","user_482828","3234038",12757.25
"27","user_482828","3242597",26756.09
"28","user_482828","3250543",3841.17
"29","user_484249","3242603",61613.84
"30","user_484249","3250559",3992.29
"31","user_486422","3265002",30866.28
"32","user_486422","3273779",15735.32
"33","user_486422","3282230",746.95
"34","user_487250","3282204",287.1
"35","user_487250","3309204",3090.53
"36","user_487250","3330663",10783.8
"37","user_487250","3339346",4792.91
"38","user_487297","3282198",50999.79
"39","user_487297","3291252",63350.88
"40","user_487297","3300933",12173.54
"41","user_487941","3305749",3224.26
