"","nasal_vs_saliva","nasal_vs_between","saliva_vs_between"
"user_432686",NA,NA,NA
"user_433227",0.021690411219565,3.12398271854788e-09,0.383307222359979
"user_438577",NA,NA,NA
"user_442978",0.0677789904931434,0.0244037258925428,0.613356588423424
"user_444332",0.0329534088334879,0.0215832217773674,0.317911509457777
"user_444633",0.00791084737362338,2.19163650940581e-07,0.206128597817883
"user_451152",NA,NA,NA
"user_451709",0.0257170030617578,0.481238647951833,0.0025456843694785
"user_453058",0.0285366052133401,0.00182812872234268,0.531031244833113
"user_459597",0.0331865787676348,0.00837650647775559,0.408864320061224
"user_471467",0.0454879561739052,3.42493836297182e-05,0.170281754835739
"user_471588",0.0250869615108179,0.517307117145283,0.00150675672110145
"total",0.000498294251086815,8.7369437953942e-10,0.901793709211029
